pk,address-en,address-fr,city,province
ISED-1041,107 Shirreff Ave.,"107, av. Shirreff",North Bay,ON
ISED-1042,151 Tunney's Pasture Drwy.,"151 Tunney's Pasture Drwy.",Ottawa,ON
ISED-1043,160 Elgin St.,"160, rue Elgin",Ottawa,ON
ISED-1044,235 Queen St.,"235, rue Queen",Ottawa,ON
ISED-1045,3701 Carling Ave.,"3701, av. Carling",Ottawa,ON
ISED-1046,410 Laurier Ave. W.,"410, av. Laurier O.",Ottawa,ON
ISED-1047,7 Bayview Dr.,7 Bayview Dr.,Ottawa,ON
ISED-1048,900 Dynes Rd.,900 Dynes Rd.,Ottawa,ON
ISED-1049,950 Ages Dr.,950 Ages Dr.,Ottawa,ON
ISED-1050,8 Queen St. E.,"8, rue Queen E.",Sault Ste. Marie,ON
ISED-1051,19 Lisgar St.,"19, rue Lisgar",Sudbury,ON
ISED-1052,875 Notre Dame Ave.,"875, av. Notre Dame",Sudbury,ON
ISED-1053,201 May St. N.,"201, rue May N.",Thunder Bay,ON
ISED-1054,886 Alloy Place,886 Alloy Place,Thunder Bay,ON
ISED-1055,120 Cedar St. S.,"120, rue Cedar S.",Timmins,ON
ISED-1056,151 Yonge St.,"151, rue Yonge",Toronto,ON
ISED-1057,1500 Ouellette Ave.,"1500, av. Ouellette",Windsor,ON
ISED-1058,191 Great George St.,"191, rue Great George",Charlottetown,PE
ISED-1059,45 Sacré-Coeur Blvd.,"45, boul. Sacré-Coeur",Gatineau,QC
ISED-1060,50 Victoria St.,"50, rue Victoria",Gatineau,QC
ISED-1061,1155 Metcalfe St.,"1155, rue Metcalfe",Montréal,QC
ISED-1062,1550 D' Estimauville Ave.,"1550, av. d'Estimauville",Québec,QC
ISED-1063,5000 Rideau St.,"5000, rue Rideau",Québec,QC
ISED-1064,1400 Marie-Victorin St.,"1400, rue Marie-Victorin",Saint-Bruno-de-Montarville,QC
ISED-1065,222 Ch. du Chicot,"222, ch. du Chicot",Saint-Eustache,QC
ISED-1066,9177 Langelier Blvd.,"9177, boul. Langelier",Saint-Léonard,QC
ISED-1067,2665 King St. W.,"2665, rue King O.",Sherbrooke,QC
ISED-1068,1150 Broadway Ave.,"1150, av. Broadway",Regina,SK
ISED-1069,1857 McDonald St.,"1857, rue McDonald",Regina,SK
ISED-1070,1945 Hamilton St.,"1945, rue Hamilton",Regina,SK
ISED-1071,123 2nd Ave. S.,"123, 2e av. S.",Saskatoon,SK
ISED-1072,2404 Thayer Ave.,"2404, av. Thayer",Saskatoon,SK
ISED-1073,286 Venture Cres.,286 Venture Cres.,Saskatoon,SK
ISED-1074,300 Main St.,"300, rue Main",Whitehorse,YT
